Español;Quechua
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Michi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
Camino;Ñan
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Misi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
Camino;Ñan
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Misi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
Camino;Ñan
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Misi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
Camino;Ñan
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Misi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
Camino;Ñan
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Misi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
Camino;Ñan
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Misi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
Camino;Ñan
Casa;Wasi
Ventana;Wintana
Marrón;Ch’umpi
Agua;Yaku
Comida;Mikhuy
Hombre;Qhari
Mujer;Warmi
Niño;Wawa
Sol;Inti
Luna;Killa
Tierra;Allpa
Fuego;Nina
Cielo;Hanaq pacha
Día;Punchay
Noche;Tuta
Mano;Maki
Pie;Chaki
Ojo;Ñawi
Boca;Simi
Cabeza;Uma
Padre;Tayta
Madre;Mama
Hermano;Wayqi
Hermana;Ñaña
Animal;Uywa
Perro;Allqu
Gato;Misi
Pájaro;P'isqu
Piedra;Rumi
Montaña;Orqo
